VIN,YEAR,MODEL,TRIM,MSRP
3KMJCCDE7SE006095,2025,85462A4S,TUCSON SEL CONVENIENCE AWD,$36155
5NMJA3DE7SH545611,2025,85402F4S,TUCSON SE FWD,$30800
5NMJACDE2SH559836,2025,85402A4S,TUCSON SE AWD,$32330
5NMJACDE4SH512856,2025,85402A4S,TUCSON SE AWD,$32195
5NMJACDE4SH541404,2025,85402A4S,TUCSON SE AWD,$32265
5NMJFCDE1SH564253,2025,85442A4S,TUCSON XRT AWD,$37015
5NMJFCDE6SH520345,2025,85442A4S,TUCSON XRT AWD,$36620
5NMP1DGL5SH087609,2025,65402AT5,SANTA FE SE 2.5T AWD,$38000
5NMP5DGL0SH117233,2025,654C2AT5,SANTA FE CALLIGRAPHY 2.5T AWD,$51890
5NMP5DGL1SH103678,2025,654C2AT5,SANTA FE CALLIGRAPHY 2.5T AWD,$50829
5NTJBDDEXSH126899,2025,90432A45,SANTA CRUZ SEL AWD,$33640
5NTJCDDE9SH144534,2025,90492A45,SANTA CRUZ SEL ACTIVITY AWD,$37470
5NTJCDDF6RH106486,2024,90442AT5,SANTA CRUZ NIGHT AWD,$40365
5NTJCDDF8RH106215,2024,90442AT5,SANTA CRUZ NIGHT AWD,$40325
5NTJEDDF3RH118332,2024,90472AT5,SANTA CRUZ LIMITED AWD,$43335
KM8HB3A70SU018581,2025,Q14A2FEZ,KONA ELECTRIC SE STANDARD RANGE,$35255
KM8HBCA34SU277488,2025,Q1452AT5,KONA N LINE S AWD,$33640
KM8KMDDF2RU260470,2024,50412AEZ,IONIQ 5 SE AWD,$51245
KM8KRDDF4RU277921,2024,50462AEZ,IONIQ 5 LIMITED AWD,$60305
KM8KRDDFXRU319928,2024,50462AEZ,IONIQ 5 LIMITED AWD,$59970
KM8R3DGE0SU926770,2025,J1482A65,PALISADE XRT AWD,$47375
KM8R3DGE1SU923831,2025,J1482A65,PALISADE XRT AWD,$48020
KM8R7DGE0SU925395,2025,J1492A65,PALISADE CALLIGRAPHY NIGHT EDITION AWD,$57444
KM8R7DGE1SU925423,2025,J1492A65,PALISADE CALLIGRAPHY NIGHT EDITION AWD,$56944
KM8R7DGE2SU940870,2025,J1492A65,PALISADE CALLIGRAPHY NIGHT EDITION AWD,$57155
KMHL34JJ4SA124803,2025,294D2FBS,SONATA HYBRID SEL,$33080
KMHL34JJ6RA094407,2024,294D2FBS,SONATA HYBRID SEL,$32535
KMHL54JJ4SA124875,2025,294G2FBS,SONATA HYBRID LIMITED,$39515
KMHL64JA2SA495028,2025,29442A4S,SONATA SEL AWD,$31360
KMHL64JA3SA497726,2025,29442F4S,SONATA SEL FWD,$29825
KMHLL4DGXSU992447,2025,494E2F4S,ELANTRA SE,$24390
KMHLM4DG2SU001299,2025,494G2F4S,ELANTRA SEL SPORT,$25565
KMHLM4DG2SU001951,2025,494G2F4S,ELANTRA SEL SPORT,$25040
KMHLM4DG2SU001965,2025,494G2F4S,ELANTRA SEL SPORT,$25065
KMHLM4DG4SU989704,2025,494G2F4S,ELANTRA SEL SPORT,$25530
KMHLM4DG4SU996037,2025,494G2F4S,ELANTRA SEL SPORT,$25065
KMHLM4DG5SU001961,2025,494G2F4S,ELANTRA SEL SPORT,$25040
KMHLM4DG6SU005758,2025,494G2F4S,ELANTRA SEL SPORT,$25570
KMHLM4DG7SU001959,2025,494G2F4S,ELANTRA SEL SPORT,$25040
KMHLM4DG7SU984612,2025,494G2F4S,ELANTRA SEL SPORT,$25035
KMHLM4DG7SU993228,2025,494G2F4S,ELANTRA SEL SPORT,$25015
KMHLM4DG8SU994307,2025,494G2F4S,ELANTRA SEL SPORT,$25065
KMHLM4DGXSU005780,2025,494G2F4S,ELANTRA SEL SPORT,$25570
KMHLM4DGXSU993918,2025,494G2F4S,ELANTRA SEL SPORT,$25515
KMHLM4DJ5SU149409,2025,494B2FBS,ELANTRA HYBRID SEL SPORT,$29190
KMHLM4DJ6SU146941,2025,494B2FBS,ELANTRA HYBRID SEL SPORT,$29190
KMHLM4DJ9SU143080,2025,494C2FBS,ELANTRA HYBRID BLUE,$27600
KMHLN4DJXSU143585,2025,494D2FBS,ELANTRA HYBRID LIMITED,$32080
KMHLP4DG7SU943176,2025,494J2F4S,ELANTRA LIMITED,$28215
KMHLP4DG9SU995621,2025,494J2F4S,ELANTRA LIMITED,$29045
KMHLR4DF1SU981116,2025,49452FT5,ELANTRA N LINE,$30690
KMHLR4DF3SU953110,2025,49452FT5,ELANTRA N LINE,$31060
KMHLR4DF4SU981918,2025,49452FT5,ELANTRA N LINE,$30705
KMHLS4DG4SU989921,2025,494H2F4S,ELANTRA SEL CONVENIENCE,$27595
KMHLS4DG6SU992156,2025,494H2F4S,ELANTRA SEL CONVENIENCE,$27595
KMHLS4DG7SU973762,2025,494H2F4S,ELANTRA SEL CONVENIENCE,$27490
KMHLW4DK3SU029739,2025,4N4A3FT5,ELANTRA N M/T,$36220
KMHLW4DK4SU030026,2025,4N4A3FT5,ELANTRA N M/T,$35720
KMHLW4DK5SU027829,2025,4N4A2FT5,ELANTRA N,$37680
KMHM34AC4RA064358,2024,A0442AEZ,IONIQ 6 SEL AWD,$50460
KMHRB8A34SU384929,2025,30402F45,VENUE SE,$22730
KMHRC8A35SU385407,2025,30422F45,VENUE SEL,$24300
