Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,494B2FBS,4dr Sdn HEV SEL Sport,39,4 (680-699),$0,0.00277,0.58
2025,494B2FBS,4dr Sdn HEV SEL Sport,39,5 (660-679),$0,0.00295,0.58
2025,494B2FBS,4dr Sdn HEV SEL Sport,39,6 (640-659),$0,0.00309,0.58
2025,494B2FBS,4dr Sdn HEV SEL Sport,39,7 (620-639),$0,0.00314,0.58
2025,494C2FBS,4dr Sdn HEV Blue,39,1 (740-999),$250,0.00247,0.57
2025,494C2FBS,4dr Sdn HEV Blue,39,2 (720-739),$250,0.00247,0.57
2025,494C2FBS,4dr Sdn HEV Blue,39,3 (700-719),$250,0.00265,0.57
2025,494C2FBS,4dr Sdn HEV Blue,39,4 (680-699),$250,0.00278,0.57
2025,494C2FBS,4dr Sdn HEV Blue,39,5 (660-679),$250,0.00296,0.57
2025,494C2FBS,4dr Sdn HEV Blue,39,6 (640-659),$250,0.00310,0.57
2025,494C2FBS,4dr Sdn HEV Blue,39,7 (620-639),$250,0.00315,0.57
2025,494D2FBS,4dr Sdn HEV Limited,39,1 (740-999),$0,0.00243,0.60
2025,494D2FBS,4dr Sdn HEV Limited,39,2 (720-739),$0,0.00243,0.60
2025,494D2FBS,4dr Sdn HEV Limited,39,3 (700-719),$0,0.00261,0.60
2025,494D2FBS,4dr Sdn HEV Limited,39,4 (680-699),$0,0.00274,0.60
2025,494D2FBS,4dr Sdn HEV Limited,39,5 (660-679),$0,0.00292,0.60
2025,494D2FBS,4dr Sdn HEV Limited,39,6 (640-659),$0,0.00306,0.60
2025,494D2FBS,4dr Sdn HEV Limited,39,7 (620-639),$0,0.00311,0.60
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,1 (740-999),$500,0.00272,0.51
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,2 (720-739),$500,0.00272,0.51
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,3 (700-719),$500,0.00292,0.51
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,4 (680-699),$500,0.00309,0.51
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,5 (660-679),$500,0.00335,0.51
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,6 (640-659),$500,0.00349,0.51
2025,494B2FBS,4dr Sdn HEV SEL Sport,48,7 (620-639),$500,0.00363,0.51
2025,494C2FBS,4dr Sdn HEV Blue,48,1 (740-999),$500,0.00283,0.52
2025,494C2FBS,4dr Sdn HEV Blue,48,2 (720-739),$500,0.00283,0.52
2025,494C2FBS,4dr Sdn HEV Blue,48,3 (700-719),$500,0.00303,0.52
2025,494C2FBS,4dr Sdn HEV Blue,48,4 (680-699),$500,0.00320,0.52
2025,494C2FBS,4dr Sdn HEV Blue,48,5 (660-679),$500,0.00346,0.52
2025,494C2FBS,4dr Sdn HEV Blue,48,6 (640-659),$500,0.00360,0.52
2025,494C2FBS,4dr Sdn HEV Blue,48,7 (620-639),$500,0.00374,0.52
