Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,494E2F4S,4dr Sdn SE,36,7 (620-639),$1250,0.00313,0.61
2025,494E2F4S,4dr Sdn SE,36,8 (580-619),$1250,0.00370,0.61
2025,494G2F4S,4dr Sdn SEL Sport,36,1 (740-999),$750,0.00253,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,2 (720-739),$750,0.00253,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,3 (700-719),$750,0.00308,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,4 (680-699),$750,0.00321,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,5 (660-679),$750,0.00339,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,6 (640-659),$750,0.00353,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,7 (620-639),$750,0.00358,0.65
2025,494G2F4S,4dr Sdn SEL Sport,36,8 (580-619),$750,0.00370,0.65
2025,494H2F4S,4dr Sdn SEL Convenience,36,1 (740-999),$1750,0.00253,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,36,2 (720-739),$1750,0.00253,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,36,3 (700-719),$1750,0.00308,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,36,4 (680-699),$1750,0.00321,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,36,5 (660-679),$1750,0.00339,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,36,6 (640-659),$1750,0.00353,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,36,7 (620-639),$1750,0.00358,0.60
